epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,123.06,1.63973,0.50586,0.95757,1.33477,0.00333143,0.00333143,0.00333143
2,243.937,1.30079,0.55271,0.971,1.18052,0.00644482,0.00644482,0.00644482
3,355.056,1.24034,0.56129,0.96771,1.19938,0.00933822,0.00933822,0.00933822
4,465.395,1.21083,0.58129,0.97071,1.12443,0.00901,0.00901,0.00901
5,576.157,1.13527,0.61286,0.97786,1.06481,0.00868,0.00868,0.00868
6,687.091,1.08671,0.62257,0.976,1.04081,0.00835,0.00835,0.00835
7,799.914,1.05672,0.62729,0.98286,1.02327,0.00802,0.00802,0.00802
8,911.001,1.02254,0.64929,0.98529,0.97394,0.00769,0.00769,0.00769
9,1022.36,1.00043,0.655,0.98414,0.95512,0.00736,0.00736,0.00736
10,1133.26,0.97887,0.656,0.98343,0.95315,0.00703,0.00703,0.00703
11,1244.63,0.95974,0.66729,0.98243,0.95092,0.0067,0.0067,0.0067
12,1355.73,0.93746,0.67743,0.98543,0.93202,0.00637,0.00637,0.00637
13,1467.39,0.92,0.67486,0.98443,0.93079,0.00604,0.00604,0.00604
14,1577.96,0.90222,0.67557,0.98357,0.92508,0.00571,0.00571,0.00571
15,1686.86,0.89172,0.67729,0.98314,0.92886,0.00538,0.00538,0.00538
16,1795.47,0.87012,0.67243,0.98214,0.93687,0.00505,0.00505,0.00505
17,1904.44,0.85611,0.67743,0.98243,0.9394,0.00472,0.00472,0.00472
18,2014.44,0.83661,0.67957,0.98257,0.94324,0.00439,0.00439,0.00439
19,2123.25,0.81515,0.67871,0.98243,0.94169,0.00406,0.00406,0.00406
20,2233.58,0.80218,0.67986,0.98214,0.94163,0.00373,0.00373,0.00373
