epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,386.124,1.61749,0.50671,0.96257,1.31932,0.00333238,0.00333238,0.00333238
2,746.149,1.34111,0.54171,0.96643,1.2102,0.00644575,0.00644575,0.00644575
3,1100.47,1.31277,0.54657,0.96886,1.20761,0.00933911,0.00933911,0.00933911
4,1448.41,1.27488,0.57614,0.972,1.16162,0.00901,0.00901,0.00901
5,1808,1.1923,0.607,0.97814,1.07812,0.00868,0.00868,0.00868
6,2189.6,1.14027,0.62686,0.98043,1.02555,0.00835,0.00835,0.00835
7,2542.25,1.10398,0.63886,0.98343,0.99138,0.00802,0.00802,0.00802
8,2894.85,1.0711,0.64829,0.98329,0.98207,0.00769,0.00769,0.00769
9,3246.41,1.04451,0.654,0.98386,0.97623,0.00736,0.00736,0.00736
10,3598.87,1.02349,0.665,0.98486,0.95427,0.00703,0.00703,0.00703
11,3951.86,1.0005,0.667,0.98571,0.94982,0.0067,0.0067,0.0067
12,4301.27,0.97719,0.66486,0.98643,0.94704,0.00637,0.00637,0.00637
13,4645.73,0.9612,0.66857,0.98429,0.95011,0.00604,0.00604,0.00604
14,4990.48,0.94302,0.66857,0.98557,0.94378,0.00571,0.00571,0.00571
15,5336,0.92781,0.67471,0.98629,0.93976,0.00538,0.00538,0.00538
16,5698.42,0.90852,0.67729,0.986,0.93581,0.00505,0.00505,0.00505
17,6051,0.89346,0.67414,0.98471,0.93535,0.00472,0.00472,0.00472
18,6404.28,0.88281,0.67686,0.98471,0.93548,0.00439,0.00439,0.00439
19,6756.72,0.86117,0.67971,0.98471,0.93575,0.00406,0.00406,0.00406
20,7110.33,0.84805,0.67986,0.98414,0.93574,0.00373,0.00373,0.00373
21,7465.39,0.82611,0.68114,0.98386,0.9376,0.0034,0.0034,0.0034
22,7820.41,0.80671,0.68214,0.98386,0.94016,0.00307,0.00307,0.00307
23,8175.34,0.78892,0.68329,0.98357,0.94042,0.00274,0.00274,0.00274
24,8527.87,0.76799,0.68529,0.98414,0.94205,0.00241,0.00241,0.00241
25,8881,0.75446,0.68457,0.98343,0.94408,0.00208,0.00208,0.00208
26,9236.52,0.72799,0.685,0.98343,0.94675,0.00175,0.00175,0.00175
27,9588.43,0.70544,0.68529,0.98286,0.94861,0.00142,0.00142,0.00142
28,9941.27,0.67569,0.686,0.98329,0.95189,0.00109,0.00109,0.00109
29,10294,0.65583,0.68543,0.98329,0.95596,0.00076,0.00076,0.00076
30,10645.8,0.63202,0.68543,0.98286,0.96197,0.00043,0.00043,0.00043
